"dec1","dec2","dec3","hex1","hex2","hex3","modrm","#operands","operand1","operand2","66H ?","REP ?","REPE ?","mnemonic","#asm_operands","asm operand1","asm operand2","asm operand3","eflags","fpu flags","exception fpu","exception p","exception r","exception v",
15,33,245,"0F",21,"F5",,0,,,FALSE,,,"mov",2,"ebp","dr6",,,,,"GP,DB,UD","DB,UD","GP",
15,33,246,"0F",21,"F6",,0,,,FALSE,,,"mov",2,"esi","dr6",,,,,"GP,DB,UD","DB,UD","GP",
15,33,247,"0F",21,"F7",,0,,,FALSE,,,"mov",2,"edi","dr6",,,,,"GP,DB,UD","DB,UD","GP",
15,33,248,"0F",21,"F8",,0,,,FALSE,,,"mov",2,"eax","dr7",,,,,"GP,DB,UD","DB,UD","GP",
15,33,249,"0F",21,"F9",,0,,,FALSE,,,"mov",2,"ecx","dr7",,,,,"GP,DB,UD","DB,UD","GP",
15,33,250,"0F",21,"FA",,0,,,FALSE,,,"mov",2,"edx","dr7",,,,,"GP,DB,UD","DB,UD","GP",
15,33,251,"0F",21,"FB",,0,,,FALSE,,,"mov",2,"ebx","dr7",,,,,"GP,DB,UD","DB,UD","GP",
15,33,252,"0F",21,"FC",,0,,,FALSE,,,"mov",2,"esp","dr7",,,,,"GP,DB,UD","DB,UD","GP",
15,33,253,"0F",21,"FD",,0,,,FALSE,,,"mov",2,"ebp","dr7",,,,,"GP,DB,UD","DB,UD","GP",
15,33,254,"0F",21,"FE",,0,,,FALSE,,,"mov",2,"esi","dr7",,,,,"GP,DB,UD","DB,UD","GP",
15,33,255,"0F",21,"FF",,0,,,FALSE,,,"mov",2,"edi","dr7",,,,,"GP,DB,UD","DB,UD","GP",
15,34,192,"0F",22,"C0",,0,,,FALSE,,,"mov",2,"cr0","eax",,,,,"GP","GP","GP",
15,34,193,"0F",22,"C1",,0,,,FALSE,,,"mov",2,"cr0","ecx",,,,,"GP","GP","GP",
15,34,194,"0F",22,"C2",,0,,,FALSE,,,"mov",2,"cr0","edx",,,,,"GP","GP","GP",
15,34,195,"0F",22,"C3",,0,,,FALSE,,,"mov",2,"cr0","ebx",,,,,"GP","GP","GP",
15,34,196,"0F",22,"C4",,0,,,FALSE,,,"mov",2,"cr0","esp",,,,,"GP","GP","GP",
15,34,197,"0F",22,"C5",,0,,,FALSE,,,"mov",2,"cr0","ebp",,,,,"GP","GP","GP",
15,34,198,"0F",22,"C6",,0,,,FALSE,,,"mov",2,"cr0","esi",,,,,"GP","GP","GP",
15,34,199,"0F",22,"C7",,0,,,FALSE,,,"mov",2,"cr0","edi",,,,,"GP","GP","GP",
15,34,200,"0F",22,"C8",,0,,,FALSE,,,"mov",2,"cr1","eax",,,,,"GP","GP","GP",
15,34,201,"0F",22,"C9",,0,,,FALSE,,,"mov",2,"cr1","ecx",,,,,"GP","GP","GP",
15,34,202,"0F",22,"CA",,0,,,FALSE,,,"mov",2,"cr1","edx",,,,,"GP","GP","GP",
15,34,203,"0F",22,"CB",,0,,,FALSE,,,"mov",2,"cr1","ebx",,,,,"GP","GP","GP",
15,34,204,"0F",22,"CC",,0,,,FALSE,,,"mov",2,"cr1","esp",,,,,"GP","GP","GP",
15,34,205,"0F",22,"CD",,0,,,FALSE,,,"mov",2,"cr1","ebp",,,,,"GP","GP","GP",
15,34,206,"0F",22,"CE",,0,,,FALSE,,,"mov",2,"cr1","esi",,,,,"GP","GP","GP",
15,34,207,"0F",22,"CF",,0,,,FALSE,,,"mov",2,"cr1","edi",,,,,"GP","GP","GP",
15,34,208,"0F",22,"D0",,0,,,FALSE,,,"mov",2,"cr2","eax",,,,,"GP","GP","GP",
15,34,209,"0F",22,"D1",,0,,,FALSE,,,"mov",2,"cr2","ecx",,,,,"GP","GP","GP",
15,34,210,"0F",22,"D2",,0,,,FALSE,,,"mov",2,"cr2","edx",,,,,"GP","GP","GP",
15,34,211,"0F",22,"D3",,0,,,FALSE,,,"mov",2,"cr2","ebx",,,,,"GP","GP","GP",
15,34,212,"0F",22,"D4",,0,,,FALSE,,,"mov",2,"cr2","esp",,,,,"GP","GP","GP",
15,34,213,"0F",22,"D5",,0,,,FALSE,,,"mov",2,"cr2","ebp",,,,,"GP","GP","GP",
15,34,214,"0F",22,"D6",,0,,,FALSE,,,"mov",2,"cr2","esi",,,,,"GP","GP","GP",
15,34,215,"0F",22,"D7",,0,,,FALSE,,,"mov",2,"cr2","edi",,,,,"GP","GP","GP",
15,34,216,"0F",22,"D8",,0,,,FALSE,,,"mov",2,"cr3","eax",,,,,"GP","GP","GP",
15,34,217,"0F",22,"D9",,0,,,FALSE,,,"mov",2,"cr3","ecx",,,,,"GP","GP","GP",
15,34,218,"0F",22,"DA",,0,,,FALSE,,,"mov",2,"cr3","edx",,,,,"GP","GP","GP",
15,34,219,"0F",22,"DB",,0,,,FALSE,,,"mov",2,"cr3","ebx",,,,,"GP","GP","GP",
15,34,220,"0F",22,"DC",,0,,,FALSE,,,"mov",2,"cr3","esp",,,,,"GP","GP","GP",
15,34,221,"0F",22,"DD",,0,,,FALSE,,,"mov",2,"cr3","ebp",,,,,"GP","GP","GP",
15,34,222,"0F",22,"DE",,0,,,FALSE,,,"mov",2,"cr3","esi",,,,,"GP","GP","GP",
15,34,223,"0F",22,"DF",,0,,,FALSE,,,"mov",2,"cr3","edi",,,,,"GP","GP","GP",
15,34,224,"0F",22,"E0",,0,,,FALSE,,,"mov",2,"cr4","eax",,,,,"GP","GP","GP",
15,34,225,"0F",22,"E1",,0,,,FALSE,,,"mov",2,"cr4","ecx",,,,,"GP","GP","GP",
15,34,226,"0F",22,"E2",,0,,,FALSE,,,"mov",2,"cr4","edx",,,,,"GP","GP","GP",
15,34,227,"0F",22,"E3",,0,,,FALSE,,,"mov",2,"cr4","ebx",,,,,"GP","GP","GP",
15,34,228,"0F",22,"E4",,0,,,FALSE,,,"mov",2,"cr4","esp",,,,,"GP","GP","GP",
15,34,229,"0F",22,"E5",,0,,,FALSE,,,"mov",2,"cr4","ebp",,,,,"GP","GP","GP",
15,34,230,"0F",22,"E6",,0,,,FALSE,,,"mov",2,"cr4","esi",,,,,"GP","GP","GP",
15,34,231,"0F",22,"E7",,0,,,FALSE,,,"mov",2,"cr4","edi",,,,,"GP","GP","GP",
15,34,232,"0F",22,"E8",,0,,,FALSE,,,"mov",2,"cr5","eax",,,,,"GP","GP","GP",
15,34,233,"0F",22,"E9",,0,,,FALSE,,,"mov",2,"cr5","ecx",,,,,"GP","GP","GP",
15,34,234,"0F",22,"EA",,0,,,FALSE,,,"mov",2,"cr5","edx",,,,,"GP","GP","GP",
15,34,235,"0F",22,"EB",,0,,,FALSE,,,"mov",2,"cr5","ebx",,,,,"GP","GP","GP",
15,34,236,"0F",22,"EC",,0,,,FALSE,,,"mov",2,"cr5","esp",,,,,"GP","GP","GP",
